,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
7118,Purchase of additional food supplies and other essential expenses for Medical Frontliners temporarily housed at Q-18 Hotel,123730,30/05/2020,05/06/2020,Twis Trading,115317.5,28/04/2020,01/06/2020,City Government of Bi\\u00c3\\u00b1an,0.932009214,Not classified,,,
7119,SUPPLY AND DELIVERY OF (50) PCS F60 DUAL LIMB,115200,02/07/2020,02/08/2020,HEALTH OPTIONS ENTERPRISES,115200,22/06/2020,25/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,1,Not classified,,,
7120,Printing and Delivery of Tarpaulin 6ft x 8ft as COVID-19 Advocacy Material on the New Normal,115200,25/06/2020,09/07/2020,MK Blessed Printing Shop,115200,19/06/2020,19/06/2020,Department of Health - Center for Health Development I,1,Not classified,,,
7121,Medical Supplies for LPH-Luisiana District Hospital as Preparedness Measures and Response of the Provincial Government of Laguna against COVID-19,115200,28/04/2020,02/05/2020,Biochem Scientific Diagnostic Supply,115198,24/04/2020,24/04/2020,PROVINCIAL GOVERNMENT OF LAGUNA,0.999982639,Not classified,,,
7122,Procurement of fit test kit and other supplies,115000,15/07/2020,22/07/2020,HEALTH OPTIONS ENTERPRISES,115000,24/06/2020,15/07/2020,Jose B. Lingad Memorial General Hospital,1,Not classified,,,
7123,"Purchase of High Calcium Mix, etc for Animal Health",115000,15/05/2020,05/06/2020,Belman Laboratories,115000,15/05/2020,18/05/2020,National Dairy Authority,1,Not classified,,,
7124,"Procurement of Disinfectant for use of Covid-19 Provincial Operation Center, Isolation Facilities and Provincial Checkpoint",115000,13/06/2020,13/06/2020,Agreennov Corporation,115000,11/06/2020,13/06/2020,PROVINCIAL GOVERNMENT OF DAVAO DEL NORTE,1,Not classified,,,
7125,SUPPLY AND DELIVERY OF PPE AND TRASHBINS,115000,05/05/2020,20/05/2020,HOSPI CARE MEDICAL TRADING,114750,05/05/2020,08/05/2020,MUNICIPALITY OF CARAGA,0.997826087,Not classified,,,
7126,Procurement of various food supplies for food comissary unit-IMT,649490.5,30/06/2020,14/07/2020,Pecson Meat Stall/ Carmelita Pecson,114583,29/06/2020,30/06/2020,City Government of Malaybalay,0.176419824,Not classified,,,
7127,"1,636 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",525000,05/05/2020,05/05/2020,MCCOY'S RIB JOINT,114520,05/05/2020,06/05/2020,CITY GOVERNMENT OF KORONADAL,0.218133333,Not classified,,,
7128,"1,145 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",560000,22/05/2020,22/05/2020,GAB'S YARD STEAK HOUSE & GRILL,114500,22/05/2020,23/05/2020,CITY GOVERNMENT OF KORONADAL,0.204464286,Not classified,,,
7129,PURCHASE OF DRUGS AND MEDICINES,114500,07/05/2020,22/05/2020,B-SHINE PHARMA,114500,07/05/2020,22/05/2020,Local Government Unit of Bingawan,1,Not classified,,,
7130,TRANSPORTATION SERVICES / VAN RENTAL,116500,23/03/2020,26/03/2020,SAGADIAN TOURIST TRANSPORT COOPERATIVE,114500,23/03/2020,24/03/2020,UP Baguio,0.982832618,Not classified,,,
7131,Diaper and Milk re- For Children in Barangays (COVID19),114497,08/05/2020,15/05/2020,SUPER SHOPRITE CENTER INC.,114497,08/05/2020,15/05/2020,"LOCAL GOVERNMENT UNIT OF ATIMONAN, QUEZON",1,Not classified,,,
7132,Supply and Delivery of Rice for Families Affected by COVID-19 Pandemic,114400,30/04/2020,14/05/2020,Mokoy Store,114400,30/04/2020,01/05/2020,LGU-Madridejos,1,Not classified,,,
7133,Procurement of 500 Pieces KN95 Mask and 500 Pieces Face Shield,114400,04/05/2020,04/05/2020,DBM - Procurement Service,114400,04/05/2020,04/05/2020,"PHILIPPINE VETERANS AFFAIRS OFFICE, DND (PVAO)",1,Not classified,,,
7134,Supply & Delivery of Disinfectant Solutions,120000,12/03/2020,15/03/2020,MEDIX JR. MARKETING,114360,12/03/2020,12/03/2020,Philippine Science High School - Region II (CAgayan Valley Campus),0.953,Not classified,,,
7135,PROCUREMENT OF BASIC COMMODITIES-BISCUIT ETC.,115000,17/04/2020,24/04/2020,LUBIEL TRADING,114300,16/04/2020,17/04/2020,DSWD FIELD OFFICE IV-A (CALABARZON),0.993913043,Not classified,,,
7136,Procurement of Collodial Rapid Test Kits as COVID-19 Response,130000,25/05/2020,04/06/2020,PHARMASTAR INT'L. TRADING CORP.,114000,21/05/2020,22/05/2020,"Local Government Unit of Tomas Oppus, Southern Leyte",0.876923077,Not classified,,,
7137,Procurement of Isolation Tent with Purchase Number 04-00020 to be used for Operation due to COVID-19,114000,13/04/2020,20/04/2020,Affordrugs and General Merchandise,114000,13/04/2020,13/04/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
7138,Procurement of Welfare Goods,114000,05/05/2020,08/05/2020,DT TRADING,114000,05/05/2020,07/05/2020,LGU-Patnongon,1,Not classified,,,
7139,Procurement of 60 Cavans of Rice (50kls),114000,02/04/2020,09/04/2020,Lyn's Rice & Palay Trading & Feeds Supply,114000,02/04/2020,02/04/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
7140,Emergency Procurement of Goods for Families affected by COVID-19,114000,20/03/2020,21/03/2020,Three Kings General Merchandise,114000,18/03/2020,18/03/2020,LGU-Pinamalayan,1,Not classified,,,
7141,Procurement of Medical Oxygen,125000,26/06/2020,26/08/2020,MICAGAS INDUSTRIAL CORPORATION,113750,23/06/2020,24/06/2020,BATANES GENERAL HOSPITAL,0.91,Not classified,,,
7142,SUPPLY & DELIVERY  OF VARIOUS HARDWARE SUPPLIES FOR USE IN THE PUTTING UP OF SANITATION TENTS AND GANTRY FACILITIES OF DPWH-ILOCOS NORTE2ND DEO DURING THE ENHANCE COMMUNITY QUARANTINE,121215.38,27/03/2020,27/03/2020,LAOAG NEWTON CONSTRUCTION SUPPLY,113741,26/03/2020,26/03/2020,DPWH-ILOCOS NORTE 2ND DISTRICT ENGINEERING OFFICE,0.938338023,Not classified,,,
7143,COVID-19 QUARANTINE SUPPLIES,113415,18/03/2020,18/03/2020,D' ANCHOR ENTERPRISES,113415,18/03/2020,19/03/2020,CITY GOVERNMENT OF KORONADAL,1,Not classified,,,
7144,Procurement of Relief Goods and Supplies,8033761,21/04/2020,21/04/2020,New Javier Trading Corporation,113412.5,21/04/2020,22/04/2020,"LGU-Sinait, Ilocos Sur",0.014116987,Not classified,,,
7145,Supply and Delivery of Thermal Scanner,113300,14/05/2020,20/05/2020,MEDIX DEPOT,113300,14/05/2020,20/05/2020,LGU TUGUEGARAO,1,Not classified,,,
7146,Purchase of Relief Goods,6352837.32,21/04/2020,21/04/2020,Amianan Supermarket,113280,21/04/2020,24/04/2020,"LGU-Sinait, Ilocos Sur",0.017831403,Not classified,,,
7147,Purchase of Suit (Personal Protective Equipment),113000,24/04/2020,28/04/2020,EYE CONTACT OPTICAL MEDICAL SUPPLY AND GEN. MDSE.,113000,23/04/2020,23/04/2020,MUNICIPALITY OF HERMOSA,1,Not classified,,,
7148,Procurement of Welfare Goods for COVID-19 Response,1000000,29/05/2020,01/06/2020,ALDA DOLTEO,113000,27/05/2020,29/05/2020,"LGU - Bokod, Benguet",0.113,Not classified,,,
7149,Procurement of Items intended  and use for Covid-19 pandemic,113000,13/04/2020,19/05/2020,BOSS NIK ENTERPRISES,113000,18/05/2020,19/05/2020,"Municipality of Carmen, Agusan del  Norte",1,Not classified,,,
7150,DISINFECTANT SUPPLIES FOR USE @ QUARANTINE CHECKPOINTS,113000,17/04/2020,17/04/2020,D' ANCHOR ENTERPRISES,113000,17/04/2020,18/04/2020,CITY GOVERNMENT OF KORONADAL,1,Not classified,,,
7151,SUPPLY AND DELIVERY OF VARIOUS CONSTRUCTION SUPPLIES,135206,09/07/2020,24/07/2020,LIBERTY AND SONS LA UNION INC,112990,23/06/2020,28/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,0.835687765,Not classified,,,
7152,Procurement of Construction Supplies,114317,20/04/2020,05/05/2020,J.M  Lacorte Construction,112925,16/04/2020,20/04/2020,Provincial Government of Agusan del Sur,0.987823333,Not classified,,,
7153,200 amps bartorpranol tartrate,112888,22/05/2020,22/05/2020,"Philpharmawealth, Inc",112888,18/05/2020,22/05/2020,Benguet Provincial Government,1,Not classified,,,
7154,Procurement and Delivery of Directional Stickers for COVID-19 preventive measure and awareness,114400,26/06/2020,10/07/2020,Modern Scribe Printing Solutions Inc.,112684.6,25/06/2020,25/06/2020,Department of Health - Center for Health Development I,0.985005245,Not classified,,,
7155,Supply and Delivery of Meals for Frontliners - COVID 19 Quick Response,112500,29/04/2020,13/05/2020,ZAR Catering Services,112500,27/04/2020,13/05/2020,Municipality of Sibonga,1,Not classified,,,
7156,PROVISION OF MEALS FOR THE EMERGENCY OPERATIONS CENTER (EOC) PERSONNEL OF RDRRMC- BICOL,112500,16/06/2020,30/06/2020,LAYAG RESTAURANT AND GRILL,112500,12/06/2020,12/06/2020,Office of Civil Defense 5,1,Not classified,,,
7157,Supply and Delivery of Meals for Frontliners - COVID 19 Quick Response,112500,31/03/2020,14/04/2020,ZAR CATERING SERVICES,112500,13/04/2020,14/04/2020,Municipality of Sibonga,1,Not classified,,,
7158,5000 pcs of Disposable N88 Face Mask,155000,24/03/2020,31/03/2020,Medtex Corporation,112500,24/03/2020,30/03/2020,Authority of the Freeport Area of Bataan,0.725806452,Not classified,,,
7159,N88 Face Mask for Mitigating Threat of COVID-19 Spread in the FAB,155000,24/03/2020,24/03/2020,Medtex Corporation,112500,24/03/2020,24/03/2020,Authority of the Freeport Area of Bataan,0.725806452,Not classified,,,
7160,PROVISION OF MEALS FOR THE BRTTH-HEMS RESPONDERS FOR COVID-19 OPERATIONS DURING THE IMPLEMENTATION OF COMMUNITY QUARANTINE,112500,01/05/2020,15/05/2020,BICOL FOOD DELIGHTS CATERING SERVICES,112500,30/04/2020,30/04/2020,Office of Civil Defense 5,1,Not classified,,,
7161,"Supply and Delivery of Sando Bags to be used for the Relief Goods to be distributed at various Barangays in the City of San Fernando, Pampanga subject to Ordering Agreement",112500,23/06/2020,23/06/2020,IMES ENTERPRISES,112500,23/06/2020,23/06/2020,"City Government of San Fernando, Pampanga",1,Not classified,,,
7162,PROVISION OF MEALS FOR THE EMERGENCY OPERATIONS CENTER (EOC) PERSONNEL OF RDRRMC- BICOL,112500,01/06/2020,15/06/2020,LAYAG RESTAURANT AND GRILL,112500,31/05/2020,31/05/2020,Office of Civil Defense 5,1,Not classified,,,
7163,500 PCS GOGGLE PROTECTIVE GLASS,112500,30/03/2020,01/04/2020,"BEROVAN MARKETING,INC",112500,01/04/2020,01/04/2020,Department of Health Central Visayas Center for Health Development,1,Not classified,,,
7164,Supply and Delivery of Meals for Frontliners - COVID 19 Quick Response,112500,27/03/2020,05/04/2020,ZAR Catering Services,112500,27/03/2020,05/04/2020,Municipality of Sibonga,1,Not classified,,,
7165,Emergency Purchase of Olyset Net,112500,18/05/2020,18/05/2020,G Chemtrading Corporation,112500,18/05/2020,18/05/2020,"Local Government Unit - Mabitac, Laguna",1,Not classified,,,
7166,Supply and Delivery of Meals for Frontliners - COVID-19 Quick Response,112500,12/05/2020,26/05/2020,ZAR Catering Services,112500,12/05/2020,26/05/2020,Municipality of Sibonga,1,Not classified,,,
7167,Supply and delivery of 25 units thermal scanner,112500,01/04/2020,01/04/2020,RPD Chem Enterprises,112500,30/03/2020,31/03/2020,Philippine Rice Research Institute,1,Not classified,,,
7168,Additional Purchase of Emergency Essentials as preventive step for Novel-Corona Virus (COVID-19),112090,13/04/2020,21/04/2020,BNO MEDLAB TRADING,112090,13/04/2020,21/04/2020,COMMISSION ON POPULATION AND DEVELOPMENT REGION 3,1,Not classified,,,
7169,Purchase of 150 sacks of 20 kilos rice,120000,12/05/2020,15/05/2020,KNC Rice Retailer and Wholesaler,112050,12/05/2020,12/07/2020,Local Government Unit of Alcala,0.93375,Not classified,,,
7170,Supply and Delivery of Acetated Ringer's 1L,112000,23/06/2020,14/07/2020,Intermed Pharma and Medical,112000,23/06/2020,23/06/2020,Talisay District Hospital,1,Not classified,,,
7171,"Purchase of Supplies,Materials & Equipment for the use of PUI in QF 2 (For Covid 19 Prevention & Mitigation)",122000,27/05/2020,07/06/2020,168 Paragon International General Contractor & Equipment,112000,25/05/2020,04/06/2020,"Municipality of Tanay, Rizal",0.918032787,Not classified,,,
7172,Catering Services for financial and food packs distribution in the different barangays and command center for processing of travel documents (incoming and outgong),112000,11/06/2020,10/08/2020,LEE ANN' S CATERING SERVICES,112000,10/06/2020,10/06/2020,"Municipality of Bantayan, Cebu",1,Not classified,,,
7173,Purchase & Installation of Sprayer machine Against Covid 19,112000,14/04/2020,14/05/2020,WELD POWERTOOLS INDUSTRIAL MACHINERY CORP,112000,08/04/2020,15/04/2020,City of Bogo,1,Not classified,,,
7174,Procurement of Vitamin C,112000,23/04/2020,01/05/2020,Health Saver's Pharmacy,112000,21/04/2020,22/04/2020,LGU-Remedios T. Romualdez,1,Not classified,,,
7175,Emergency Purchase of Rice,112000,27/04/2020,27/04/2020,Leads Agriventures Corporation,112000,27/04/2020,27/04/2020,"Local Government Unit - Mabitac, Laguna",1,Not classified,,,
7176,Procurement of Drugs and Medicine,112000,05/05/2020,20/05/2020,ANB PHARMACEUTICALS,112000,24/04/2020,05/05/2020,Provincial Government of Agusan del Sur,1,Not classified,,,
7177,Service for Disinfection/Misting of CSC NCR Offices,150000,16/03/2020,30/05/2020,Cleanallogy Laundry and Cleaning Services,111947,16/03/2020,16/03/2020,Civil Service Commission-National Capital Region,0.746313333,Not classified,,,
7178,"Pipette tips, 1000 ul, aerosol resistant sterilized hyper filter tips, 10 racks/box, box (Watsons, Cat no. 125-1000S)",111780,25/06/2020,23/09/2020,"LIFELINE DIAGNOSTICS SUPPLIES, INC.",111780,11/05/2020,11/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
7179,SUPPLY AND DELIVERY OF VARIOUS VITAMINS,111600,13/05/2020,14/05/2020,APT DRUGS TRADING,111600,11/05/2020,14/05/2020,"MUNICIPALITY OF NAGUILIAN, ISABELA",1,Not classified,,,
7180,Purchase of Gun Thermometer,111600,16/03/2020,20/03/2020,558 PHARMACY & CONVENIENCE STORE,111576,18/03/2020,20/03/2020,"LGU- LEMERY, BATANGAS",0.999784946,Not classified,,,
7181,Purchase of Sardines,4422600,13/05/2020,14/05/2020,Libertad Consumers Corporation,111520,14/04/2020,14/04/2020,"LGU-Labo, Camarines Norte",0.025215936,Not classified,,,
7182,"Emeregency Purchase for the Procurement of Automatic Hand Sanitizer Dispenser, Hand Sanitizer and Battery Dry Cell D",111250,16/06/2020,30/06/2020,LCJ General Merchandise,111250,10/06/2020,16/06/2020,Mariveles Mental Wellness And General Hospital,1,Not classified,,,
7183,"PILLOWS, 18X30",111000,17/04/2020,27/04/2020,R2D2 TRADING,111000,27/04/2020,27/04/2020,VETERANS MEMORIAL MEDICAL CENTER,1,Not classified,,,
7184,PROCUREMENT OF FACE SHIELD,174000,27/04/2020,30/04/2020,ZOOM ENTERPRISES,111000,21/04/2020,27/04/2020,DSWD FIELD OFFICE IV-A (CALABARZON),0.637931034,Not classified,,,
7185,MEALS TO BE SERVED @ COVID 19 & ASF QUARANTINE CHECKPOINTS IN THE CITY,450000,18/03/2020,18/03/2020,CHEQ FOODS,111000,18/03/2020,19/03/2020,CITY GOVERNMENT OF KORONADAL,0.246666667,Not classified,,,
7186,Procurement and Delivery of Detergent Sanitiser tablet and Oil-Proof High Performance Sprayer for COVID-19 pandemic response,111000,10/06/2020,24/06/2020,"Alog & Company, Inc.",110700,05/06/2020,08/06/2020,Department of Health - Center for Health Development I,0.997297297,Not classified,,,
7187,246 sets of Personal Protective Equipment (PPE) Suits Reusable,172200,24/06/2020,08/07/2020,VERALIZ MARKETING,110700,23/06/2020,02/07/2020,SOCIAL SECURITY SYSTEM,0.642857143,Not classified,,,
7188,Furnishing Sardines/Food Assistance to Indigent Families in this Municipality,110664,30/03/2020,01/04/2020,Glory General Merchandise,110664,31/03/2020,30/03/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
7189,Procurement of Office Supplies,112470,06/04/2020,06/04/2020,Sebio Educational Supply,110650,06/04/2020,06/04/2020,LGU POLANCO,0.983817907,Not classified,,,
7190,Purchase of Monggo,110450,06/05/2020,06/05/2020,Dingle Multi-Purpose Cooperative,110450,06/05/2020,06/05/2020,"Municipality of Dingle, Iloilo",1,Not classified,,,
7191,"ALCOHOL, Isoprophyl-70% BLEACH, Original CLEANSER, Scouring powder 350grams MOP HANDLE, Heavy duty, Aluminum Handle, Screw type MOP HEAD, Made of rayon, weight: 400grams minimum TRASHBAG, Black, 940mm",121500,14/05/2020,18/05/2020,Rayos Trading,110433,14/05/2020,14/05/2020,DEPARTMENT OF AGRARIAN REFORM,0.90891358,Not classified,,,
7192,"Catering Services during financial and food packs distribution in the different barangays on June 2-5 and 9-12, 2020",110400,29/05/2020,13/07/2020,LEE-ANN'S CATERING SERVICES,110400,28/05/2020,28/05/2020,"Municipality of Bantayan, Cebu",1,Not classified,,,
7193,"Catering Services during financial and food packs distribution in the different barangays on May 19-22 & 26-29, 2020",110400,18/05/2020,02/07/2020,LEE-ANN'S CATERING SERVICES,110400,18/05/2020,18/05/2020,"Municipality of Bantayan, Cebu",1,Not classified,,,
7194,Improvement of Evacuation Centers (Villamanzano Sur & Pambuhan) (Materials),112000,19/06/2020,03/07/2020,META GENERAL MERCHANDISE,110332,18/06/2020,03/07/2020,LGU Perez Quezon,0.985107143,Not classified,,,
7195,Medicines for COVID 19 Pandemic,117005.5,14/04/2020,20/04/2020,JOSMEF ENTERPRISES,110117.5,14/04/2020,14/04/2020,Local Government Unit of Passi City,0.941130972,Not classified,,,
7196,Supply and Delivery of Office Supplies for CHO and CDRRMO,110049,21/04/2020,25/04/2020,SEJAM General Enterprises,110049,21/04/2020,25/04/2020,CITY GOVERNMENT OF CABUYAO,1,Not classified,,,
7197,Procurement of Laboratory Supplies/Reagents (Glucometer Strips),135000,16/04/2020,30/04/2020,"Carewell Bio-Medical Systems, Co.",110000,16/04/2020,30/04/2020,DR. JOSE RIZAL MEMORIAL HOSPITAL,0.814814815,Not classified,,,
7198,Emergency Procurement for Supply and Delivery of Medical Supplies -,110000,06/05/2020,14/05/2020,"IDS MEDICAL SYSTEMS PHILIPPINES, INC.",110000,06/05/2020,06/05/2020,EAST AVENUE MEDICAL CENTER,1,Not classified,,,
7199,Purchase of PPE's and COVID Test Kit,120000,01/06/2020,12/06/2020,VITA J 88,110000,08/06/2020,10/06/2020,"Municipality of Valladolid, Negros Occidental",0.916666667,Not classified,,,
7200,ARBold Project - Food Pack,110000,12/05/2020,30/06/2020,NUEVA SEGOVIA CONSORTIUM OF COOPERATIVES,110000,11/05/2020,14/05/2020,DEPARTMENT OF AGRARIAN REFORM,1,Not classified,,,
7201,4TH Wave Relief Goods for affected by Covid-19,115500,20/04/2020,24/04/2020,Ariel And Roda Store,110000,18/04/2020,20/04/2020,"Sangguniang Kabataan ng Barangay 10 Cabilang Baybay Carmona,Cavite",0.952380952,Not classified,,,
7202,Bottled Water for Assistance  to the Frontliners COVID 19 Outbreak of this Municipal,110000,11/05/2020,14/05/2020,Bagels Enterprises,110000,11/05/2020,13/05/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
7203,Furnishing Bottled Water/Assistance to Frontliner in this Municipality,110000,30/03/2020,02/04/2020,Bagels Enterprises,110000,01/04/2020,30/03/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
7204,"Pipette tip, 200uL, Filtered Tips, Low Vol Ret, Racked, 96 tips/rack, 10 racks/pack, 5 packs/case = 4,800 tips/case (Neptune, USA Cat. No. BT200)",110000,22/07/2020,21/08/2020,RAINPHIL INC.,110000,03/06/2020,03/06/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
7205,S OF MEDICAL OXYGEN (REFILL) INTENDED FOR EMERGENCY CASES DURING COVID-19 PANDEMIC,110000,11/05/2020,31/05/2020,PALAWAN INDUSTRIAL GASES SUPPLY,110000,08/05/2020,08/05/2020,"Municipal Government of San Vicente, Palawan",1,Not classified,,,
7206,Procurement of Meals,110000,08/06/2020,09/06/2020,Mimosa Citycapes Inc.,110000,08/06/2020,08/06/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
7207,Procurement of Collapsible Tent,120000,27/04/2020,07/05/2020,EJB Trapal Center,110000,27/04/2020,27/04/2020,"Municipality of Carmen, Agusan del  Norte",0.916666667,Not classified,,,
7208,Procurement for the Supply and Delivery of PPE Suit,110000,05/05/2020,03/06/2020,KING NJP GENERAL MDSE.,110000,04/05/2020,04/05/2020,LGU-Olongapo City,1,Not classified,,,
7209,"SUPPLY AND DELIVERY OF RAPID TEST KIT FOR OFFICIAL USE OF BIR, RR9B-LAQUEMAR, SAN PABLO CITY",110000,22/06/2020,23/06/2020,S.K.NATRAJ CORPORATION,110000,22/06/2020,22/06/2020,"BUREAU OF INTERNAL REVENUE, RR NO. 9B-LAQUEMAR",1,Not classified,,,
