Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
SMS Marketing,7.5524074,17.0
Kilyn Trading,7.55264,31.0
Biala Poultry Farm,7.56,2.0
GEMMA STORE,7.56894,7.0
PROFCARE MEDICAL & LINEN SUPPLIES,7.58,3.0
RAINPHIL INC.,7.59,23.5
DANE DEGALA CASTILLO PHARMACY,7.59541,29.5
Fenellere Trading and Construction Servics,7.598,42.0
GREEN & GROW TEKNOLOGIES INC.,7.60038,7.0
"CHICKEN ESSENTIALS PH, INC.",7.621609599999999,9.0
3RG Fortune Enterprises,7.628715,15.0
DARIUS V. DALIPE,7.668,10.0
Dubbel Medical Corporation,7.688,5.0
CHE ENTERPRISES,7.6905,10.5
Olten Instruments Phils. Corporation,7.699,4.0
EXCELIFE MED TRAINING,7.72,7.0
PJ Barcelona's Catering Services,7.7305,55.5
3 R's Pharma Trade & General Merchandise,7.7688,1.0
NORTHERN CLINICAL TECHNOLOGY SOLUTIONS AND SERVICES,7.786,5.25
"Cron Office Systems, Inc.",7.7988,30.0
RBGM MEDICAL EXPRESS SA;ES INC.,7.8,10.0
"HBi Diagnostika, Inc.",7.8,3.0
Taurus Rice Mill and Trading,7.8,100.5
Arik General Merchandising,7.8075,4.5
SONNY E. ANTONINO,7.8075,1.0
"BLUE SKY TRADING CO.,INC.",7.875,38.0
Rayanton Farms and Livestock Corporation,7.875,7.0
Starleon Logistics,7.9,4.0
MEDIKWELT MARKETING CORP.,7.94,8.0
GITI TRADING,7.95,7.0
INA ENTERPRISE,7.9522575,30.5
TRIPLE A DRIED FISH DEALER,7.99175,7.0
ECOPETROL Gasoline Station,7.9996,61.0
JM GAS STATION,7.999754,15.0
DRAKE MARKETING AND EQUIPMENT CORP.,8.0,1.0
Right Anchor Construction,8.0,26.0
Pearl of the South Suites,8.0,62.0
Pro-Life Healthcare System Corp.,8.0,15.0
JERR MARKETING,8.0,30.0
RMG Hospital Supply Inc.,8.0,31.0
ST.MARK AND IRA PHARMA AND GENERAL MERCHANDISE,8.0017,11.0
PATH FINDER PHARMACY AND DISTRIBUTOR,8.0029765,38.0
PALANGUE AGRARIAN REFORM COOPERATIVE,8.01612,5.666666666666667
DELAC Enterprise,8.04,30.0
MJN Enterprises,8.07205,7.0
RSB General Merchandise,8.0949,3.8
SIDE WAY 88 HOTEL,8.1,13.0
LABX Corp.,8.104,6.5
Jetbest Animal Nutrition & Health Care Inc.,8.1408,21.0
RS Medstar Pharmacy,8.156151600000001,7.666666666666667
ROVILEEDA BUY AND SELL OF AGRI PRODUCTS,8.1608,16.0
E. Cabanes Office Equipment and Supplies Trading,8.174923,56.0
Park Villa Apartelle,8.208,365.0
KTCA GASOLINE STATION,8.2386,44.5
P4S General Merchandise,8.25,3.0
MERCY MOMS FOOD & CATERING SERVICES,8.25,10.0
Alpha Machinery and Engineering Corp.,8.25,6.0
DRIVESERVICES ASIA PACIFIC INC,8.25,15.0
Samley Enterprises,8.25,10.0
RS AGRO INDUSTRIAL CORP.,8.26375,6.0
Saviour Medevices Inc,8.27,22.0
NEOMED MARKETING,8.275,15.0
"WORLD SOLUTION TECHNOLOGY, INC.",8.2785,9.0
RLPAM Sari-Sari Store,8.2978362,16.5
Capri-Blue General Merchandise and Trading,8.325,7.0
Alberto Pinion,8.325,5.0
LITTLE MOM CATERING SERVICES,8.3279,12.333333333333334
STA. ROSA CITY UNIFIED TRANSPORT COOPERATIVE,8.33,6.0
Casile-Guinting Upland Marketing Cooperative,8.34245,4.0
WISENHEIMERTRADING,8.352,4.0
LA SENCILLEZ TRADING,8.353162999999999,1.0
V FIVE MARKETING,8.364,3.0
JIRON GENERAL MERCHANDISE,8.37,3.0
TECKCON CONSTRUCTION,8.375352,49.0
"Wyler Enterprises, Inc.",8.3876,365.0
SAYDEE MARKETING,8.4,14.0
SEPULGAMS BUGASAN,8.4,72.0
RAD KC's LCM Corp.,8.4009,8.0
Nipcon Distributors,8.4096,30.0
RR Brothers' Office Supplies Trading,8.415,6.333333333333333
558 Pharmacy & Convenience Store,8.425025,9.0
MEGAVISION PRINTING PRESS,8.4375,6.0
ZAMBOANGA MEDICAL SUPPLIES EQUIPMENT & GEN MDSE,8.4606,14.0
ZUELLIG PHARMA CORP,8.484,71.0
BEN-LIE ENTERPRISES,8.48565,6.0
RL Rice Mill,8.488,15.0
W&A Agro Industrial Corp.,8.488,15.0
Remia and Renante Grocery Merchandize,8.5,7.0
"Fernando Medical Enterprises, Inc.",8.5,7.0
Gillean Trading,8.51,7.0
Roam Medica Enterprises,8.517857,3.0
Globel Store,8.52,3.0
SANFORD MARKETING,8.52,7.0
LYNIX TRADING,8.521825,30.333333333333332
Gets Bros Phils Inc,8.5296,30.0
CAXY VARIETY STORE,8.54896,3.0
IBS PHARMACY AND GEN. MDSE.GENERAL MERCHANDISE,8.54918,61.0
Stellar 167 Manpower Recruitment & Services Inc.,8.5492792,61.0
KULIT'S DRUGSTORE,8.55,19.666666666666668
Rose Pharmacy,8.55785,5.5
KIKAY UG UBAN PA,8.577,16.0
RAZMER'S TRADING,8.60178,3.75
Microgenesis Business Systems,8.6310192,5.0
Astrophil Trading,8.6331,11.5
CENTRO-MED ENTERPRISE,8.65,7.0
"KCC PROPERTY HOLDINGS, INC.",8.65152,8.0
ST. MARK AND IRA PHARMA & GEN. MDSE.,8.6975,10.0
RIGHT CHOICE MEDICAL PRODUCTS,8.7149,6.0
SAMANTELA FRUITS AND VEGETABLES,8.71725,46.0
"Portafolio Interiors, Inc.",8.7327139,25.5
MLP DRUG STORE,8.74691,7.0
Scientific Biotech Specialties Incorporated,8.75,120.0
Scientific Biotech Specialties,8.75,31.0
Mamawag Construction,8.7500021,61.0
F AND N ENTERPRISES & GEN. MERCHANDISE,8.75199,1.0
STAY INN JERUSALEM HOTEL,8.7525,31.0
Kousef Enterprises,8.756,6.0
Star Trading and General Merchandise,8.791,30.0
Sofia Enterprises,8.793329,1.0
MBR Vegetable Retailer,8.8,7.0
"Saviour Medevices, Inc.",8.8,30.0
"Puregold Price Club, Inc.-Legaspi, Capiz",8.8033155,56.0
Edward Gonzales,8.81,6.25
Ten-Fifteen Enterprises & Gen. Merchandise,8.82,2.0
Nash Mini Mart/ Nasser U. Abdulhari,8.8255,16.0
8 Dragon Construction Supply Inc.,8.8263634,11.0
Kaishen Enterprises,8.85,1.0
Mara Agripoultry Marketing Corporation,8.859375,7.0
"Mega Panay Distribution, Inc.",8.875,3.0
FAIR & SQUARE MARKETING,8.8864,7.0
NEW ZMJ TRADING,8.8894,11.0
"Jeel Masagana Farm Supply Incorporated,Inc.",8.8965,30.0
WELMARY CONSTRUCTION SUPPLY,8.899795,7.0
JRACS PHARMACEUTICAL DISTRIBUTOR,8.92972,27.5
Wynnpool Industrial Gases Inc.,8.93255,10.0
SOUTHSIDE BIOMEDICAL,8.938,30.0
JONAS ENTERPRISES,8.94056,7.0
Blue Chip Marketing,8.9559795,1.0
"METRO DRUG, INC.",8.9586978,19.444444444444443
RAKEAR Trading,8.9615,30.333333333333332
ABORQUE-EDEP PHARMACEUTICALS,8.98446,17.0
MPA Pharmacare,8.986,1.6666666666666667
OROSTARS TRADE INCORPORATED,9.0,2.0
Negen Biodevices,9.0,15.0
DMAP Trading Corp,9.0,17.0
Medasia Medical Products Corporation,9.0,365.0
"Compresstech Resources, Inc.",9.0,13.0
Dmap Trading and Merchandising,9.0002,1.0
SV Blue Sky Pharma,9.0078,50.0
DLD Commodities Trading,9.016,7.0
Manna Shameyn Enterprises,9.025,15.0
Ten Fifteen Enterprises & Gen Merchandise,9.03,1.5
JENRA INCORPORATED,9.0612,6.0
Choz-A Medz. Corp.,9.06704,24.0
Steritex Medical Systems,9.075,10.0
biosite medical instruments,9.085,9.333333333333334
Anglowealth Enterprises,9.09335,5.666666666666667
Amirjain Store/ Amirjain A. Abdulcadir,9.1020072,32.0
Corbridge Group Philippines Inc,9.104,30.0
NOEL V ALDEZ,9.11241,22.0
"Pacifica Agrivet Supplies, Inc.",9.1161,8.833333333333334
"Health Line Medical Distribution, Inc.",9.1165,17.0
ROSEMARIE L. TANO,9.1419,22.0
"Meaco Royal Hotel, Inc.",9.1425,52.0
MANZIHING CORPORATION,9.1841925,32.0
JAAP GENERAL MERCHANDISE,9.19,6.0
MFR Medical Equipment and Supplies,9.1925,8.0
5J'S METAL CRAFT & GEN. MDSE. CO. LTD,9.2,10.0
LDA AGRI MARKETING,9.20792,13.5
AXL FOOD SERVICES,9.225,26.5
PRO-LIFE HEALTH CARE SYSTEM CORPORATION,9.24552,7.0
HI5 ENTERPRISES,9.25,76.0
Pacifica Agrivet Supplies Inc,9.251165,25.5
STY BTAC-AGRO INDUSTRIAL TRADING,9.2588,31.0
JOSMEF ENTERRISES,9.28,28.0
SHANEL AND LOUISE ENTERPRISES,9.2875,30.0
ZEST-O CORPORATION,9.288,7.0
Pomona Pharmaceutical Distribution,9.3,2.0
JB PHARMA & TRADE CENTER,9.326,7.0
PABSVORITO FOOD AND CATERING SERVICES,9.33,3.75
Damar Rice Store,9.3425,6.0
MAGIC CLUB INC.,9.3515848,8.0
BIOTECHNICA Medical Supplies,9.375,45.0
CHICKEN ESSENTIALS PH. INC.,9.4158,10.0
"Asia Pacific Medical and Diagnostics, Inc.",9.422,9.0
Todco's General Merchandise,9.4234,6.5
"Baliwag Transit, Inc.",9.43,13.0
R.L. Colico Construction,9.4319655,12.333333333333334
OLT Ventures,9.4327,12.0
"RADIO MINDANAO NETWORK, INC.",9.44,198.0
FARMACIA NORHIZA,9.44792,24.666666666666668
NATH'S GEN. MDSE.,9.45,7.0
JJC IN PRINTS,9.4709,15.0
TIONGSAN HARRISON DEPT. STORE,9.478714499999999,1.6666666666666667
PHARMA-MEDIKA PHARMACEUTICALS,9.4818,7.0
MEG ENterprise,9.49,31.0
Caracol Store,9.4915,14.0
SV BLUE SKY PHARMA,9.492,15.0
LITTLE LEMON CHILDREN'S WEAR HOUSE,9.499,18.0
PMR TRADING,9.5,31.0
"DYANMED HEALTHCARE, INC.",9.5,15.0
NAFC-DA Multi Purpose Cooperative,9.516,5.0
NAFC-DA MULTI-PURPOSE COOPERATIVE (NADAMCO),9.516,127.0
MA CONSTRUCTION AND SUPPLY,9.5496,19.0
Zuellig Pharma,9.55605,31.0
CURAMED PHARMACY,9.560855,5.666666666666667
CAMBERWELL CONSTRUCTION AND SUPPLIES,9.56739,2.0
Cher Enterprises Incorporated,9.57,2.5
KS Distribution Incorporated,9.575104,4.0
RITEMEAT MARKETING,9.595,7.0
"CENTERPOINT SALES & TRADING, INC.",9.6,38.0
SOBRIX TRADING AND GENERAL MERCHANDISE,9.6,53.0
CYBER LINK COMPU SALES,9.6016,44.5
Skyhawk Marketing and General Merchandise,9.62542,11.333333333333334
NEW BOTICA CONCEPCION INC.,9.63118,7.0
UNIVERSAL AGRIVET SUPPLY,9.66,1.0
ROM PHARMA DISTRIBUTOR,9.6685,7.0
DT TRADING,9.69,4.5
MFR Medical Equipment and Supply,9.7,12.0
Drake Marketing and Equipment Corp,9.7,49.5
DELTA DISTRIBUTION CORPORATION,9.7051759,1.0
EVO BUILDERS,9.7131885,14.0
"BIOSITE MEDICAL INSTRUMENTS, INC.",9.715,7.0
XYZ GEN. MDSE.,9.74436,7.0
Mina De Oro Agrarian Reform Beneficiaries Multi-Purpose Cooperative (MAREBEMCO),9.74554,30.0
TWO SEVEN FOOD STUFF CATERING SERVICE,9.75,17.25
Respicare Enterprises Inc.,9.75,4.5
JBM TRADING,9.7551,5.25
T.O.P. SEVENHUNDRED TRADING,9.78,29.0
RUSSEL JOEY GENERAL MERCHANDISE,9.78775,30.0
Shasha's Construction & Supplies,9.7991313,69.0
Bounty Agro Ventures Incorporated,9.8,7.0
DUBC CONSTRUCTION CORPORATION,9.8,7.0
G and Z Pharmacy,9.823,4.0
PEST SCIENCE CORPORATION,9.84,30.0
"Wireless Link Technologies, Inc.",9.8438,10.0
JASMEDIN TECHNOLOGY INC.,9.85137,45.0
MEDIMAX CORPORATION,9.869,9.0
"Zomedel Gas Center and General Merchandise, Inc.",9.9,61.0
Ellebasy Medicale Trading,9.9,7.0
Zuelling Pharma Inc,9.912,31.0
LYR MARKETING CORPORATION,9.93,7.0
"Surgico Phils., INC.",9.935,30.0
Metro Ipil Centrum,9.93645,7.0
LOT 9 GEN. MDSE,9.938475,31.0
RI Basilio Retail / Rosemarie B. Ituralde,9.939765,24.0
NINGNANG FOOD SERVICE,9.9445,6.0
Orlamera Corporation,9.945,6.0
J. B. Felipe Construction,9.9452321,20.0
M.A.S MURADITO INC.,9.9538912,44.5
SHAN CONSTRUCTION AND ENTERPRISES,9.95625,26.0
JOSEPHINE MORENO ENTERPRISES,9.9593,10.0
THYMED ENTERPRISES,9.97038,2.0
D'BEAM GENERAL MDSE. CORP.,9.97825,76.0
D'BEAM GENERAL MERCHANDISE,9.97825,76.0
Kleangram Manufacturing Corporation,9.98016,9.0
Kleangram Manufacturing Corp,9.98016,15.0
Leo De Villa,9.99,4.0
HOLY INFANT DRY GOODS STORE,9.99244,31.0
Camarines Norte Seed Grower MPC,9.99375,4.0
PHIL PHARMAWEALTH INC.,9.995,7.0
RSB MARKETING,9.99587,45.0
R and J Rice Seller,9.996,11.0
EMOGEN ENTERPRISES,9.9968,4.0
B & E GENERAL MERCHANDISE,9.9968,7.0
DNJ PHARMA TRADERS,9.9975,26.0
Salveci Enterprises Inc.,9.9976,7.0
DELA CRUZ RICE AND PALAY TRADING,9.999,7.0
JADRED DRUG STORE AND MEDICAL SUPPLIES,9.9998,14.0
CEBU SURGICAL & MEDICAL ENTERPRISES,9.99996,10.0
Guillermo Palay Trading & Rice Milling,10.0,14.0
BDSCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES INC,10.0,371.0
ALVA'S FOOD PROCESSING,10.0,30.0
Northern Malubibit Farmers Irrigation Inc.,10.0,17.0
Laguna SeedGrowers Agriculture Cooperative,10.0,4.0
LINDE PHILIPPINES (SOUTH) INC.,10.0,7.0
1000000,10.0,45.0
Anne Rejoyce Trading,10.01898,14.5
EVERJOY DIAGNOSTIC TRADING,10.0225,11.0
CHQ Trading,10.0311425,5.5
Bosh Megatrade and Services / Donna Masiglat,10.043,31.0
BIOTECHNICA Medical Enterprises,10.05,33.0
Santa Maria Agrarian Reform Community (SMARCC),10.06824,30.0
Melcheshoe Trading,10.0712,15.0
NEAN'S PHARMACY,10.07469,7.0
"LIFECORE BIO INTEGRATIVE, INC.",10.08,3.0
Daniel Store,10.08,7.0
Macare Medicals Inc.,10.08,31.0
BLANZA FARM SUPPLY,10.08182,7.0
Joel L. Mabalot Store,10.1,7.0
GREEN TRUST MEDICAL TRADING,10.1,5.0
CPA Pharmacy,10.11117,31.0
BRIDGES ENTERPRISES,10.116,6.0
Dyna Care Medical Trading,10.1275,28.75
Ram Food Products Incorporated,10.1602368,6.0
SEAMMED PHARMA,10.2,2.0
Pink 24/7 Pharma,10.2,30.0
Sasha Athena RTW Collections,10.21815,365.0
KRYPTON INT'L RESOURCES & SERVICES,10.225,6.0
GMG Agri-Farm Products,10.225,31.0
Southside Biomedical Sales and Services,10.24,7.0
TOLEDO RICE TRADING,10.25,6.0
KRESMAN BUYING PALAY,10.25,9.0
PI Medical Supply,10.254185,39.0
Gay Eatery and Catering Services,10.26,7.0
ATRIK MARKETING,10.26,42.0
MCS Paper Supply & General Merchandise,10.26015,367.0
Rebmann Incorporated,10.30835,331.8
JOELITA C. GULMATICO,10.3215,22.0
"Che Enterprises, Molo, Iloilo City",10.32366,36.0
NFA Isabela Provincial Office,10.35,7.0
Puregold Price Club Inc.,10.3815,8.5
"BEROVAN MARKETING, INC",10.4,5.0
CHOZ-A-MEDZ CORP.,10.41896,38.333333333333336
ESPERANZA T. LEGASPI SARI-SARI STORE,10.42,7.0
Saint Joseph Agri-Marketing,10.425,35.0
TJ MARC SALES CORP.,10.44288,5.0
3S Dragon Marketing/ Seanar Shun Sy,10.45,15.0
Palaya Agriventures OPC,10.476365,15.0
JN'J PHARMA & MEDICAL SUPPLIES - Tagbilaran City,10.477735,8.2
FOODSPHERE INCORPORATED,10.48574,5.0
M. DIAZ CURTAINS & SOFA COVERS,10.4884,19.0
RMAP Enterprises,10.48905,4.666666666666667
health Solutions Enterprises Inc,10.5,30.0
JOSEPH RICEMILL CORPORATION,10.5,7.0
SLB MERCHANDISE,10.5,5.0
Maribel Rice Store,10.5,4.0
E. Cabanes Office Equipment & Supplies Trading,10.5321,23.666666666666668
DIATECH LABORATORY SUPPLIES CO.,10.595,40.666666666666664
BUILTECH SOLUTIONS,10.5985,15.0
Robustan Inc,10.6,92.0
LUZON QUICK SERVE TRADING CORP,10.61,1.3333333333333333
Panay Distribution Incorporation,10.6100104,1.0
"Corbridge Group Phils., Inc.",10.614,364.0
RAV-A Pharmaceutical,10.61592,60.333333333333336
GoodWill Shop- On Mart,10.646608200000001,2.6666666666666665
STS FAST FOODS AND CATERING SERVICES,10.6488,1.0
JKP2 Safety and Security Products,10.65,19.0
LVM Food Supply,10.6769,365.0
CHUMS PHARMA DISTRIBUTOR,10.67763,61.0
ANB Pharmaceuticals,10.686563999999999,16.0
GOLDQUEST BIOTECHNOLOGIES INC.,10.7,24.0
KIM-KAT Enterprises,10.704528,32.6
Roam-Medica Enterprises,10.72614,30.0
Jackpot Drug & General Merchandise,10.7329,3.5
SUNRAY'S BUILDERS AND CONSTRUCTION SUPPLIES,10.736721000000001,10.0
SAN JUAN DJ PURITY TRADING INC.,10.75,7.0
Danway Processing Corp.,10.75488,8.0
RCS Milling and Rice Trader,10.761,122.0
"B.BRAUN AVITUM PHILIPPINES, INC.",10.7764,8.0
JGL Grains Trading,10.788,15.0
ZV FISHING AND CONSTRUCTION SUPPLIES,10.8034652,17.0
JUS & KAYE GENERAL MERCHANDISE,10.81894,30.0
"CENTURY PACIFIC FOOD , INC.",10.8225,3.0
JLL SUPERSTORE,10.825,13.0
EVER BLUE RICE MILL & GRAINS TRADING,10.825,14.0
ALCEL CONSTRUCTION,10.83375,32.5
XYZ GROCERY,10.86,8.0
Davao Oriental Seed Producers Coop,10.8624,30.0
Davao Oriental Seeds Producers Cooperative(D0SEPCO),10.8624,30.0
"PRINCE WAREHOUSE CLUB (MANDAUE), INC.,",10.913583500000001,30.0
R.F.FLORES CONSTRUCTION,10.94907,35.5
Maricel's Catering Services,10.9748,18.0
R and L Trading,10.982,24.0
CIRCLE K GAS STATION,11.0,45.0
PALMA GOLDEN GRAINS RICE & CORN MILL,11.0,7.0
DOCTORS CLINIC AND LABORATORY / MARIA CRISTINA TEOTICO,11.0,32.0
"GREGORIO R. CELESTIAL, SR.",11.0,15.0
CSP MARKETING AND PHARMACY,11.00025,16.0
MBB CONSTRUCTION & SUPPLY,11.0125944,15.0
Golden Three 168 Trading Inc.,11.02912,8.0
Siker Trading,11.076833700000002,7.5
CAYAT PHARMACY,11.07701,13.0
Marlon Rochas,11.1,4.5
Botika ng Bayan Sa Pinamalayan,11.1,5.5
Jonathan Delgado,11.1,4.5
Globels Store,11.11,1.0
"DETOXICARE MOLECULAR DIAGNOSTICS LABORATORY, INC",11.128,2.0
SUNGOLD Commercial,11.1802,7.0
JOMED GENERAL MERCHANDISE,11.18242,26.0
JENJUSJEM Gen. Merchandise,11.198,2.0
ESCO PHILIPPINES INC.,11.2,28.0
ALRV Trading,11.23025,7.0
Radian Construction and Supply,11.2332,22.5
GOLDSCOPE ENTERPRISE,11.24991,2.0
Ian Terry's General Merchandise,11.25,4.0
Fast Autoworld Phils. Corporation,11.25,14.0
Tenedero's Rice Dealer & General Merchandise,11.28,3.0
Infoshare Management Systems,11.30953,28.666666666666668
Dayna Enterprises,11.3262,10.25
U-NET DISTRIBUTORS CORP.,11.33125,2.0
MINDANAO CONSTRUCTION SERVICES & LAND DEVELOPMENT CORPORATION,11.340225,29.0
"Gulayan, Anihan at Sakahan sa Kaunlaran-MPC",11.3589179,1.0
CSI WAREHOUSE CLUB INC.,11.37135,7.0
FCC SUPERMARKET,11.4570736,6.25
"CT Link Sytems, Inc.",11.46,364.0
DIAMED ENTERPRISE,11.46846,16.444444444444443
Medtex Corporation,11.48425,6.75
PRINCEPAN CORPORATION,11.490685,4.0
McTycoon Marketing,11.4925,1.0
"5J'S METAL CRAFT & GEN. MDSE., CO. LTD",11.5,11.0
Base Line Pharma Corp.,11.5039,8.2
"Molave Trading Inc.,",11.505,14.0
Vishelee Marketing,11.515,7.0
Eagle Pharmaceutical Product Distribution,11.52,60.0
ABEEVAC Distributors,11.55,41.0
BM CUSIPAG AGRICULTURAL SUPPLY,11.5608,31.0
Barrameda Rice and Corn Milling,11.6,7.0
3 ANGELS CONSTRUCTION SUPPLIES,11.6158,12.0
Ej and Jy Wet Market & Enterprises,11.6725,15.0
TITANIUM PHARMA,11.694,34.0
TCCR TRADING,11.696,13.5
Tam's Kainan,11.702,1.0
MC FERRIN BIO AND MEDICAL SUPPLY,11.75,14.0
"Fastlab Diagnostics & Medical Supplies,Rainphil Inc",11.76875,7.0
"COSTSAVER'S SUPERMARKET, INC.",11.7750175,10.0
Zafire Distributors Inc,11.80023,30.333333333333332
REJOHN ENTERPRISES,11.8033,7.0
Iloilo Izeem Commercial,11.805363999999999,5.222222222222222
"INFOBAHN COMMUNICATIONS, INC.",11.80802,30.0
HOSPI CARE MEDICAL TRADING,11.82045,15.285714285714286
Ensuremed Inc.,11.85,1.0
PROCUREMENT SERVICE - LEGAZPI CITY,11.85408,7.0
SEJAM General Enterprises,11.93029,5.0
Genace Pharma Distributor,11.96,8.0
BEONE INDUSTRIES INC.,11.965,11.0
BSMA Trading,11.96775,14.0
Medix Depot,11.997,2.0
"LIFELINE DIAGNOSTIC SUPPLIES, INC",12.0,29.0
O. Baldovi Rice Dealer,12.0,7.0
PERALES RICE MILL,12.0,7.0
GANCHE Trading,12.0,9.0
MURIX VEGETABLE AND SPICES VENDING,12.0,7.0
JOAS TRADING,12.0,7.0
Triztan Jhaye's General Merchandise,12.0,7.0
PUREGOLD PRICE CLUB INC.,12.020415,7.0
Reymar Ramirez,12.025,4.0
Jonarell David,12.025,4.0
Delac Enterprise,12.05,7.0
Jassian Enterprises,12.0744,12.0
Desuasido Rice Mill,12.1,3.2
JONECO TECH MARKETING CORP.,12.108,15.0
MED ONE MEDICAL EQUIPMENT & SUPPLIES TRADING,12.108,15.5
Winegard Marketing,12.155536099999999,21.0
CISCO ENGINEERING INDUSTRIES,12.160031400000001,13.666666666666666
"Panamed Philippines, Inc.",12.1975,277.5
Ambos Camarines Agricultural Cooperative,12.2,7.0
CGS Solid Aircon and Refrigeration Inc.,12.2192875,15.0
HERMINIGILDO D. PACATANG,12.2212,342.0
HORIZON TRANSPORT TOUR & RENT a CAR CORP.,12.32,15.0
P.I. Medical Supply,12.321785,19.0
Vincent Sea Oil Station,12.324,55.0
Savepoint Plus Health & Wellness Consultancy Service,12.325,12.0
SGR Philippines Inc,12.35,14.0
Permaheal Enterprise,12.362925,10.5
SB STORE,12.3953936,2.4
SK ENTERPRISES,12.41237,15.0
LILYHILL TRADING,12.42776,6.0
JED JULIA GENERAL MERCHANDISE,12.42886,1.0
Kooperatiba ng Pamayanang Kristyano ng Mapaya (KPKM),12.42934,15.0
"TEAMS SALES & PROMOTION, INC.",12.43,6.0
Jyramed Enterprises,12.440733700000001,12.5
BUILDING RESOURCES MARKETING INC.,12.45,10.5
SELLSIA INTERNATIONAL INC.,12.471,11.75
GRACIAN GENERAL MERCHANT,12.47395,5.0
ATE GLEN'S RESTO AND CATERING SERVICES,12.474,7.0
LRH ENTERPRISES,12.49135,3.0
MDIC TRADING,12.4974,15.0
National Food Authority (NFA),12.5,2.0
R. A. Matias Construction and Developers,12.5,58.0
FERDINAND MULTIPURPOSE COOPERATIVE,12.5,15.0
Budget Transport Services,12.5,13.2
STEPHEN STEVEN ENGINEERING SERVICES,12.5006812,44.0
"ASSURANCE CONTROLS TECHNOLOGIES CO., INC.",12.52,8.0
SJ Marketing,12.525,92.0
Quantum Leap JMB MKTG Inc.,12.576796000000002,7.833333333333333
Gracian General Merchant,12.5996,21.2
GGG Palay & Rice Trading,12.6,6.0
JSJ AGRO-VET MARKETING,12.6,8.0
SACRED HEART SAVINGS COOPERATIVE,12.616894199999999,29.0
Mar's Angel Gen. Merchandise,12.6290399,7.0
JMJ SNACKHAUZ & CATERING SERVICES,12.6555,28.0
JUS AND KAYE GENERAL MERCHANDISE,12.676615,30.0
DTWOL ENTERPRISES,12.7,6.0
AZTECO CORPORATION,12.7484,31.0
MRL CYbertech Corporation,12.7735,14.0
EC PHARMA TRADING,12.8088,6.0
Pharma Business Management Trading (PBM) Corp,12.8188,4.0
PNT TRADING AND GENERAL MERCHANDISE,12.859,7.0
LOPUE'S MANDALAGAN CORPORATION,12.859705,9.0
Drake Marketing and Equipment Corporation,12.9,61.0
Three Brothers Rice Trading,12.9,80.0
MC-CHARLES MED TRADING,12.928848,38.0
BAGE RICE & CORN TRADER,12.9375,15.0
Tina's Dried Fish and Eggs,12.9387,7.0
MADULAO'S TRADING,12.960813799999999,9.0
Fearjan Health Link Enterprises,12.9783,15.5
ELEANOR MERCHANDISING,12.987,7.0
Mercogene Pharmacy and General Merchandise,12.9888,6.0
"Omnibus Bio-Medical Systems, Inc.",12.99,365.0
IDS MEDICAL SYSTEM PHIL.INC.,12.996,12.0
Genruz Const. & Supply,13.0,6.0
"MERIJR ENTERPRISES, INC.",13.0,62.0
"Rainphil,Inc.",13.0,15.0
Ni̱o Karl Jay Trading,13.0,5.0
Genruz Cons. & Supplies,13.0,5.0
KAIRA-THOMAS RICE MILL,13.0075,9.0
"AGRO-INDUSTRIAL COOPERATIVE OF MATAASNAKAHOY (AICOM), INC.",13.0455,16.5
"TECHNOMED INTERNATIONAL, INC.",13.05,31.0
Zyre Pharmaceuticals Corporation,13.0593,4.0
Tri-Den Inc.,13.06585,11.875
TUMANAN CONSTRUCTION SUPPLY,13.07832,109.14285714285714
L-ZAY MEDICAL ENTERPRISES,13.081,10.0
"Medical Trends and Technologies, Inc.",13.086188599999998,10.0
SALVAMED PHARMA DISTRIBUTION,13.09435,8.8
"Rainphil, Inc.",13.1,365.0
"8ternity, Inc.",13.135,14.0
JPMR PHARMA,13.205195,6.428571428571429
MCJEB TRADING,13.22875,23.2
Glory General Merchandise,13.230687,4.75
ASRT General Merchandise,13.26534,2.0
3A RICE & CORN MILL,13.2775,3.5
PROCUREMENT SERVICE-DEPARTMENT OF BUDGET AND MANAGEMENT,13.2829024,16.666666666666668
"National Food Authority, Loakan Road, Baguio City",13.3125,189.5
ONE TOP MEDICAL SYSTEMS RESOURCES,13.35,7.0
RHOLZE JONAH'S ENTERPRISES,13.35,3.0
KREMPLE VENTURES INC.,13.4,7.0
SUNFLOWER DRIVE INN,13.44,53.0
SELLMARK STORE,13.44,14.0
COGNOA INTERNATIONAL INC,13.485,15.0
Davao Medworld Diagnostic Company,13.49177,1.0
Loves Medical Equipment & Supplies,13.5,4.0
AGE-MPC,13.506853000000001,7.6
Mellmarr Enterprises,13.52175,3.0
LEON CULLEN'S TRADING,13.53,7.0
ROBICON PEST CONTROL,13.5517,7.0
I.M. Alivia's Supermart,13.566,61.0
Tejada-Ramos Dressed Chicken & Meatchop,13.6,16.0
"PHIL PHARMA WEALTH, INC",13.6,7.0
INDRINAL FARMER'S MART,13.61777,6.0
Jamm's Office and School Supplies,13.62513,12.454545454545455
Las Vegas Marketing,13.63923,7.0
"HBI DIAGNOSTIKA, INC.",13.64,7.428571428571429
ADTEMPCO,13.6679227,14.0
"STEFAN'S PHARMACEUTICALS, DRUGSTORE,DISTRIBUTOR & GEN. MERCHANDISE",13.6838,7.0
RJR MARKETING,13.691,8.0
